Estado,Ano,Fuzzy_Score,Área Agrícola_mu,Pastagem com Manejo_mu,Vegetação Florestal_mu,Mosaico de Ocupações em Área Florestal_mu,Mosaico de Ocupações em Área Campestre_mu,Área Descoberta_mu,Área Artificial_mu,Área Úmida_mu
BR,2000,0.6147528405358043,0.6662413484764029,0.21820843075819585,1.0000000000000002,1.0,0.9176000379140931,0.01840490797546024,0.09756799916228176,1.0
BR,2020,0.6137413221351069,1.0,0.0,0.9206146879586723,0.9720961129938686,1.0,0.0018671645772206924,0.024293829681405255,0.9910587818696884
BR,2016,0.6099748497939688,0.9344879343180974,0.011766067262684587,0.9258462591901548,0.9945388191439729,0.9986295635140046,0.0013336889837290977,0.013639100500013157,0.9995573654390936
BR,2018,0.6092368375284466,0.9649932645856559,0.00620015211086955,0.9239183040133798,0.9817230428202997,0.9976501161119098,1.1102230246251565e-16,1.1102230246251565e-16,0.999409820585458
BR,2014,0.6053328170115005,0.9067087049424006,0.007410325695695219,0.9319744731605023,0.9757467679329691,0.9890720525742089,0.013336889837289978,0.02180685358255452,0.9966064683663834
BR,2012,0.5999992259514411,0.8473906075808251,0.005394547505496616,0.9375407382028478,0.9788918018344452,0.9783218274592819,0.01413710322752737,0.04094348019581673,0.997373701605288
BR,2010,0.5978247351661129,0.8074194072835378,0.0293109342275073,0.9465160775568738,0.9792434867247835,0.951655582060315,0.014403841024273167,0.05437315112961072,0.9996754013220019
AM,2012,0.4479622121045268,0.00014806298773690078,0.9938625649143294,0.35573025758303045,0.021526194011647046,0.0022945925024881126,1.0,0.9869891881986439,0.22314683663833806
AM,2010,0.4479480022702834,0.0001437081939799331,0.9945188853329612,0.35622264367016526,0.020049591121910324,0.0022708961943729167,1.0,0.9871724390690856,0.22320585457979228
AM,2016,0.4478436353161849,9.29022668153103e-05,0.9931947610967176,0.35422438298874154,0.02787191565246428,0.0024288715818075544,1.0,0.9868059373282023,0.2181303116147309
AM,2000,0.44784236662364285,0.0002554812337421033,0.9978322876079109,0.35886380363177445,0.011765458149498049,0.002045781267278558,1.0,0.9882981229875127,0.22367799811142589
AM,2020,0.4478206543571502,0.00018290133779264213,0.991555285057713,0.35359361388365385,0.028762377058303906,0.0024091246583782247,1.0,0.9879316212466295,0.2181303116147309
AM,2018,0.4477830759757866,0.00011467623560014865,0.9926956749102749,0.3539921767797257,0.02828517500171698,0.0024762641980379456,1.0,0.9865703290662059,0.2181303116147309
AM,2014,0.447496880920872,9.435386473429952e-05,0.9935180629449265,0.35519826276088234,0.023646960471565625,0.002322238195289174,1.0,0.9868582947197571,0.2183368744098206
MT,2020,0.4192890029608566,0.1811303883314753,0.8322787745269944,0.087073119952826,0.02292464470353082,0.009948500023696308,0.9991997866097626,0.9682452420220424,0.25351156751652504
MT,2018,0.418512815761421,0.17302176235600147,0.8326877601983624,0.08768037137149949,0.025324864476984177,0.009727334481287816,0.9991997866097626,0.9654441215738632,0.25501652502360717
MT,2016,0.41840959432753416,0.1649102331846897,0.8340065844043075,0.08841387563302805,0.027955988471366693,0.010169665566104802,0.9991997866097626,0.9674860598444985,0.2551345609065156
MT,2000,0.41809055922662686,0.09954768208844296,0.8728354897095495,0.10563253540711467,0.029196950643334683,0.010817364654586816,0.9991997866097626,0.9732453729155214,0.25424929178470257
MT,2014,0.4168511337726253,0.15753466415830547,0.831301802275303,0.08918500819281928,0.026141910181810432,0.010094627257073349,0.9991997866097626,0.967721668106495,0.2536296033994334
MT,2010,0.41488519023957904,0.13272250092902266,0.8327098436579395,0.0926064602341916,0.02772745249885732,0.010714680652754301,0.9991997866097626,0.9692400324615827,0.25416076487252126
MT,2012,0.4147077954903103,0.1391704988851728,0.8279724999094578,0.09037029958809391,0.02846753013004052,0.010509312649089272,0.9991997866097626,0.9686379224587031,0.2533345136921624
PA,2000,0.4114838010310855,0.0015706289483463395,0.9346621098183945,0.24878419750103542,0.07787748103625078,0.012693322380373137,0.9687916777807415,0.9660462315767429,0.08144475920679888
BA,2016,0.4113665252291947,0.04483840811965812,0.9515771565160781,0.02513570323947466,0.1309072996521043,0.22635108450103475,0.9511869831955189,0.9588994476295191,0.0020361189801699716
BA,2018,0.4111628995350335,0.04543211166852471,0.9511646374911776,0.025219624246784207,0.13011393643147592,0.2259048040315319,0.9511869831955189,0.9582449802350846,0.0020361189801699716
