Estado,Ano,perfil_conservador_Fuzzy_Score,perfil_produtivista_Fuzzy_Score,perfil_especulativo_Fuzzy_Score,perfil_exportador_Fuzzy_Score
BR,2000,0.7818836289674608,0.6858760316146773,0.5227141805634438,0.7249656100767674
BR,2020,0.7724127512365818,0.7896850079951542,0.49256145186981026,0.8427601517841895
BR,2016,0.7720589113319175,0.7675776206564172,0.4876948923074763,0.8206527408776846
BR,2018,0.7711417887720435,0.7768874493984541,0.48690867264494114,0.8303225086507874
BR,2014,0.7671449020956673,0.7545216779209285,0.48167692876440354,0.8072130848147568
BR,2012,0.7626141806952413,0.7314625338642333,0.4749194544094435,0.7840531397393448
BR,2010,0.7606691074758255,0.7170467607102574,0.47650764078173546,0.7682229502532386
AM,2010,0.33136033296261963,0.2590428923209665,0.5454676935169827,0.21382640132878936
AM,2012,0.331357401116002,0.2590647291700103,0.5453418033938894,0.2138997717089761
AM,2000,0.33132230984673233,0.25893563151966126,0.5460841311259879,0.2134686267688196
AM,2016,0.3312945273459997,0.2589624820665824,0.5453522868713058,0.21340455602378258
AM,2018,0.3312344516432518,0.25893234719799896,0.5451933304470379,0.21341098577497208
AM,2020,0.33113724028595354,0.25891481282472656,0.5450667910457473,0.2134703990391313
AM,2014,0.33099270248622886,0.25868289616013,0.5451319060344164,0.21308076731582162
PA,2000,0.28673052502803237,0.232916334041498,0.5119884839654246,0.18188849459620643
PA,2010,0.2766833065159424,0.22701994380020607,0.4921946234431821,0.18022834719557138
PA,2016,0.27650995829995006,0.2292682779325349,0.4903987061545598,0.1831788295515248
PA,2012,0.27586652576768095,0.22664424698621555,0.49035674221131625,0.18029116183619462
PA,2018,0.2755453697575435,0.2294501551554521,0.48896306928741495,0.1835544896957115
PA,2014,0.2753359363921947,0.22750539310468088,0.4892058875160352,0.18132910001031696
PA,2020,0.2750720190749949,0.22984910371644246,0.48858437598688276,0.18421419836740488
MT,2000,0.2589774122513563,0.2657144940315702,0.5000067441536864,0.24221602195420727
BA,2016,0.25647895849765573,0.24704042107800134,0.5219343891652458,0.1984083899882407
BA,2018,0.25630358332900377,0.24708835495705403,0.5216859466126584,0.19847275376817294
BA,2020,0.2561288985074404,0.2473109356216174,0.5211615161664325,0.19870336660271695
MT,2020,0.25611723216402155,0.2913980674365376,0.49672017108544564,0.2707816294641991
BA,2014,0.2560780656935574,0.2466253361863837,0.5217040303488317,0.197937269156838
MT,2016,0.25598244096779343,0.28586645309472125,0.49543208961853435,0.265258886183506
MT,2018,0.255866741422169,0.28848458590675596,0.49556028326363405,0.2679678318306236
BA,2012,0.25501469952182326,0.24493946137433167,0.5210107821158196,0.19610231753172136
MT,2014,0.25478366279279535,0.282395233529779,0.49336261458594105,0.2617338533463162
MT,2010,0.25392955994251476,0.27330291151680275,0.49088022001866716,0.25245317280944835
BA,2010,0.25359613288818345,0.2422072872479251,0.5198773793222492,0.19328457623715928
