Estado,Ano,fuzzy_score_base,sensitivity_range,sensitivity_std,avg_score_mod
PR,2020,0.3048718049730633,0.028973490820881187,0.010244319733708778,0.3052338377101497
RJ,2000,0.21008335560107294,0.020462998075525374,0.007235217057271871,0.2103390470967259
RJ,2010,0.21004304529464174,0.020497822485533862,0.007247530119335061,0.21029917193207828
RJ,2012,0.21003505702173364,0.0205082248911245,0.0072512081562526405,0.21029131364044829
RJ,2014,0.20998054737942334,0.02050276026532899,0.00724927599784548,0.21023673571594698
RJ,2016,0.2099987653562248,0.02050479409623207,0.007249995110850677,0.2102549791060952
RJ,2018,0.20972958878786083,0.02047801644391059,0.007240527186057112,0.20998546794267595
RJ,2020,0.20971704376861952,0.02047309354199106,0.007238786568000659,0.20997286141025123
RN,2000,0.21209790616314247,0.021139020844063466,0.0074742422210322635,0.2123620447725636
RN,2010,0.21446167590563608,0.021378203226489645,0.007558811278153885,0.21472880317296897
RN,2012,0.21648762580600797,0.021586561812014876,0.00763248179243812,0.21675735657836825
RN,2014,0.21632147745939329,0.021569905336163764,0.0076265924688039615,0.21659100010393145
RN,2016,0.2160781540721519,0.021545926948762506,0.0076181142958162505,0.21634737709931656
RN,2018,0.2159045123134402,0.021528104319025604,0.007611812648608835,0.21617351264132903
RN,2020,0.2157495630324417,0.021512570556519506,0.007606320289032157,0.2160183692611592
RO,2000,0.23170455770598597,0.011699291827447972,0.004136584261775131,0.23185074397910194
RO,2010,0.2152414264473248,0.011908036359854823,0.004210391237464024,0.21539022104799396
RO,2012,0.21399510757457704,0.011912275092797603,0.004211889950056173,0.21414395513952647
RO,2014,0.21167611508693865,0.011987192046453876,0.004238378757755425,0.21182589876241592
RO,2016,0.21237789587485204,0.012259204239341598,0.004334555635185765,0.21253107842688584
RO,2018,0.21095805021586186,0.012240306874217427,0.0043278739877566225,0.21111099663946847
RO,2020,0.20914694967323544,0.012204730743313907,0.004315295135518313,0.2092994515620731
RR,2000,0.2940436720934915,0.017364253369370752,0.006139576502972228,0.29426064381476735
RR,2010,0.29600203286836174,0.01778561314398991,0.006288559042936365,0.29622426961046117
RR,2012,0.2969044636754494,0.017965431654386688,0.006352138482705367,0.2971289473055024
RR,2014,0.2973997202463768,0.018086657659255878,0.006395001041504293,0.2976257186328883
RR,2016,0.2975431760628546,0.01812572780510585,0.006408815292213816,0.29776966264293336
RR,2018,0.2977968141625166,0.018170311332175393,0.006424578940059375,0.2980238578275678
RR,2020,0.2981632457125099,0.01823761317558209,0.006448375230495643,0.29839113033492903
RS,2000,0.29877435882924097,0.028695272219214862,0.01014594842149945,0.29913291513877194
RS,2010,0.30297286964722686,0.029140449235099286,0.010303352157107726,0.303336988581384
RS,2012,0.30470692990769355,0.029319960635963815,0.010366823010436059,0.3050732918923756
RS,2014,0.3081066331063464,0.029669012548556306,0.010490239253869285,0.3084773566027318
RS,2016,0.30867779853913285,0.029726756331465598,0.010510656047220611,0.3090492435619613
RS,2018,0.30854807297135184,0.029715272688982997,0.010506595711307807,0.3089193745025125
RS,2020,0.3056773624753531,0.029430939951634705,0.010406062589836038,0.3060451111809401
SC,2000,0.25176277406671166,0.02376435239967098,0.008402495431144429,0.25205971700664
SC,2010,0.2505812876720785,0.02365289238123322,0.008363085886969717,0.250876837884572
SC,2012,0.2504385616413775,0.02364038205728264,0.008358662541529066,0.25073395553350036
SC,2014,0.2504877467641355,0.023645382052428165,0.00836043041787004,0.25078320313274555
SC,2016,0.2506915040587913,0.02366691534122617,0.008368044063623965,0.25098722949251095
SC,2018,0.25046756938403775,0.023645503086342,0.008360473212510142,0.25076302726500405
SC,2020,0.24740095018518238,0.023336067072847744,0.008251064184824911,0.2476925415673684
SE,2000,0.2194105186027744,0.02191236348188577,0.007747677317083987,0.21968432036785765
SE,2010,0.2195798520237825,0.021929892509611082,0.007753875153780614,0.2198538728194936
SE,2012,0.22077208533663578,0.02204982958086596,0.0077962819770887,0.22104760478318095
SE,2014,0.22165517333758414,0.02213856717358831,0.007827657425696785,0.22193180158782072
SE,2016,0.21998696918016863,0.02197181275196594,0.007768697129104632,0.22026151378228515
SE,2018,0.219939623951462,0.021967066363123205,0.00776701892176724,0.22021410924598062
SE,2020,0.21938074498667795,0.021910900085186147,0.007747159895701082,0.2196545284661664
SP,2000,0.28302946983568916,0.026272721887585337,0.009289393706652015,0.28335775562888116
SP,2010,0.2826536894660662,0.026318935620697925,0.009305733755596074,0.28298255271415973
SP,2012,0.2819607274608489,0.026271595592312624,0.009288995476112243,0.28228899918063277
SP,2014,0.28293969554449755,0.02637789813710334,0.009326581463388524,0.28326929554748653
SP,2016,0.28340014929378055,0.026449715705135823,0.009351974403920636,0.28373064667951453
SP,2018,0.2834584166785845,0.026456456071998036,0.009354357633255532,0.28378899828728904
SP,2020,0.2863065227374178,0.026736793806074244,0.009453478219002503,0.2866406072528933
TO,2000,0.1939404928979019,0.017425727858886464,0.006161312383193195,0.19415823276195482
TO,2010,0.18769249046559208,0.01699576409082526,0.006009287680986624,0.18790485779925983
TO,2012,0.18735303385289076,0.016974043080005857,0.006001607661304188,0.18756512977580417
TO,2014,0.18870052575247828,0.01712213127224202,0.006053968034427088,0.18891447208319714
TO,2016,0.18999543035344338,0.017261628077818142,0.0061032907027582005,0.1902111197399317
TO,2018,0.19021234184393004,0.017318504722482614,0.006123400897174376,0.19042874192170067
TO,2020,0.19168917485612746,0.01748191073852376,0.006181177279215671,0.19190761674265386
